date,rate,year
"Thursday, September 15, 2016",63.64,2016
"Thursday, September 1, 2016",62.88,2016
"Monday, August 15, 2016",59.5,2016
"Monday, August 1, 2016",60.5,2016
"Friday, July 15, 2016",61.92,2016
"Friday, July 1, 2016",64.24,2016
"Thursday, June 16, 2016",65.15,2016
"Wednesday, June 1, 2016",65.04,2016
"Tuesday, May 17, 2016",62.47,2016
"Sunday, May 1, 2016",61.64,2016
"Saturday, April 16, 2016",60.58,2016
"Tuesday, April 5, 2016",61.32,2016
"Thursday, March 17, 2016",59.13,2016
"Wednesday, March 9, 2016",56.07,2016
"Tuesday, March 1, 2016",56.08,2016
"Wednesday, February 17, 2016",59.1,2016
"Monday, February 1, 2016",59.42,2016
"Saturday, January 16, 2016",59.45,2016
"Friday, January 1, 2016",59.77,2016
"Wednesday, December 16, 2015",60.28,2015
"Tuesday, December 1, 2015",60.8,2015
"Monday, November 16, 2015",61.38,2015
"Sunday, November 1, 2015",61.02,2015
"Tuesday, September 1, 2015",61.46,2015
"Saturday, August 15, 2015",63.49,2015
"Saturday, August 1, 2015",64.77,2015
"Wednesday, July 15, 2015",67.29,2015
"Wednesday, July 1, 2015",69.84,2015
"Wednesday, July 1, 2015",69.84,2015
"Tuesday, June 16, 2015",70.12,2015
"Saturday, May 16, 2015",69.45,2015
"Friday, May 1, 2015",68.08,2015
"Wednesday, April 15, 2015",61.9,2015
"Thursday, April 2, 2015",62.75,2015
"Sunday, March 1, 2015",63.31,2015
"Monday, February 16, 2015",59.85,2015
"Wednesday, February 4, 2015",58.88,2015
"Saturday, January 17, 2015",61.38,2015
"Tuesday, December 16, 2014",63.94,2014
"Monday, December 1, 2014",66.05,2014
"Saturday, November 1, 2014",67.01,2014
"Wednesday, October 15, 2014",69.59,2014
"Wednesday, October 1, 2014",70.87,2014
"Sunday, August 31, 2014",71.55,2014
"Friday, August 15, 2014",73.47,2014
"Friday, August 1, 2014",75.78,2014
"Tuesday, July 1, 2014",76.93,2014
"Wednesday, June 25, 2014",74.76,2014
"Saturday, June 7, 2014",74.71,2014
"Wednesday, April 16, 2014",74.6,2014
"Tuesday, April 1, 2014",75.49,2014
"Saturday, March 1, 2014",76.48,2014
"Saturday, January 4, 2014",75.71,2014
"Saturday, December 21, 2013",74.71,2013
"Friday, November 1, 2013",74.22,2013
"Tuesday, October 1, 2013",75.68,2013
"Saturday, September 14, 2013",79.55,2013
"Sunday, September 1, 2013",77.48,2013
"Thursday, August 1, 2013",74.49,2013
"Monday, July 15, 2013",73.6,2013
"Saturday, June 29, 2013",71.71,2013
"Sunday, June 16, 2013",69.39,2013
"Saturday, June 1, 2013",66.85,2013
"Wednesday, May 1, 2013",65.9,2013
"Tuesday, April 16, 2013",69.08,2013
"Tuesday, April 2, 2013",70.34,2013
"Saturday, March 16, 2013",71.41,2013
"Saturday, March 2, 2013",73.95,2013
"Saturday, February 16, 2013",72.17,2013
"Friday, January 18, 2013",70.26,2013
"Tuesday, January 1, 2013",70.58,2013
"Friday, November 16, 2012",70.57,2012
"Saturday, October 27, 2012",71.77,2012
"Tuesday, October 9, 2012",71.48,2012
"Wednesday, August 1, 2012",72.19,2012
"Wednesday, July 25, 2012",72.19,2012
"Tuesday, July 24, 2012",73.16,2012
"Friday, June 29, 2012",72.27,2012
"Sunday, June 3, 2012",75.4,2012
"Sunday, June 3, 2012",75.4,2012
"Thursday, May 24, 2012",77.53,2012
"Thursday, December 1, 2011",69.55,2011
"Wednesday, November 16, 2011",70.38,2011
"Friday, November 4, 2011",72.73,2011
"Friday, September 16, 2011",70.82,2011
"Friday, July 1, 2011",67.5,2011
"Sunday, May 15, 2011",67.22,2011
"Wednesday, March 2, 2011",61.93,2011
"Thursday, December 16, 2010",60.65,2010
"Tuesday, November 9, 2010",57.44,2010
"Tuesday, November 2, 2010",57.09,2010
"Sunday, October 17, 2010",57.09,2010
"Tuesday, September 21, 2010",56.31,2010
"Wednesday, September 8, 2010",56.02,2010
"Saturday, June 26, 2010",55.92,2010
"Thursday, April 1, 2010",52.13,2010
"Saturday, February 27, 2010",51.59,2010
"Thursday, July 2, 2009",48.58,2009
"Thursday, January 29, 2009",44.24,2009
"Saturday, December 6, 2008",49.66,2008
"Thursday, November 6, 2008",55.07,2008
"Wednesday, July 16, 2008",55.07,2008
"Friday, June 6, 2008",55.07,2008
"Saturday, May 24, 2008",49.64,2008
"Friday, February 15, 2008",49.61,2008
"Wednesday, June 6, 2007",47.44,2007
"Wednesday, May 16, 2007",47.44,2007
"Thursday, March 1, 2007",47.48,2007
"Friday, February 16, 2007",47.51,2007
"Thursday, November 30, 2006",49.67,2006
"Tuesday, June 20, 2006",51.83,2006
"Monday, June 5, 2006",51.83,2006
"Tuesday, September 6, 2005",47.49,2005
"Monday, June 20, 2005",44.26,2005
"Tuesday, April 5, 2005",41.25,2005
"Friday, April 1, 2005",41.25,2005
"Monday, November 15, 2004",41.25,2004
"Thursday, November 4, 2004",42.51,2004
"Saturday, July 31, 2004",40.15,2004
"Tuesday, June 15, 2004",38.96,2004
